target,text
0,SURGE....tired of that term.  We're still there; we're still losing people (maybe more due to the surge?) #tweetdebate #debate08 #current
0,Obama gives strong kudos to Biden ... is McCain going to applaud his selection of the Palin creature? #current #tweetdebate #debate08
0,McCain -1 for a false statement about Obama commitee responsibilities #tweetdebate
0,"-3 Mccain for a backhanded comment (""Obama doesn't understand the tactic and the strategy"") #tweetdebate"
0,"FACT Soldiers are not reenlisting now buddy! And they are not voting for you! #current, #debate08, #tweetdebate"
0,McCain -2 for triggering patriotism all the time #tweetdebate
0,"McCain: ""selecting Palin to win the election is a tactic, dying and making her President is a strategy."" # Current #debate08 #tweetdebate"
0,Yes. Let's cut spending for everything EXCEPT our defensive contracts. Are you fucking kidding me? #tweetdebate
0,Facebook Blunt Jackson McCain -3 for total falsehoods and personal attacks #tweetdebate. http://tinyurl.com/43v3kc
0,-1 mccain wtf is he talking about in Afghanistan? Ramble on old man #tweetdebate
0,"@current  Oh, that brings up a good question.  How the hell can we afford wars that don't matter when we're broke?  #current"
0,McCain but those freedom fighters were alquaeda -2 #tweetdebate
0,McCain -2 for mischaracterizing Obama on Pakistan #tweetdebate
0,"""You dont say things out loud!?"" Core problem as Republican's #tweetdebate"
0,Yep I agree I think that MCCAIN is twisting facts and making lies up about shit. #tweetdebate
0,McCain is treating him like the man-child he is.  Obama needs to stop being so congenial if he wants to win. #current #tweetdebate #debate08
0,Obama -3 for repeating his Pakistan threads again! #tweetdebate
0,@current TAKE OUT BIN LADIN YOU LIL BASTARDS!!! #current
0,Obama -1 ok.. you got the leader of N.Korea's name wrong re: pronunciation - need to practice #tweetdebate
0,#tweetdebate -2 for Obama for saying McCain is right too much
0,"Ooh, bomb iran remark hurt! # Current #debate08 #tweetdebate"
0,@current  You're welcome to be free!...as long as you're under our control...  So how's your mom?  #current
0,"mccain -1 for saying Obama doesn't understand this or that, he is being too condescending #tweetdebate"
0,why do I all of sudden don't care about Mccain's record? #current #tweetdebate
0,McCai -3 for telling shitty bracelet story. Don't waste my time John! #tweetdebate
0,Obama needs to explain anti-democratic comment (i.e. letting Musharraf take over after coup - average American not understand) #tweetdebate
0,#tweetdebate McCain -3 for pulling out all the stops on war vets when we know he supported the cutting of the VET benefits
0,McCain has stopped debating and resumed his campaigning. #tweetdebate
0,"The easiest way to put ""our young men and women into harm's way"" is to vote Republican. #tweetdebate"
0,McCain pissing me off about Iraq war bracelet! I wear my Uncle's from VietNam (hes on the last known alive list) what about HIM #tweetdebate
0,-1 McCain for telling heartstring pulling stories that don't make a point #tweetdebate
0,Obama -2 for copying cheap shot #tweetdebate
0,I've got a bracelet too. UGHHH ME TOO! ME TOO!!!  Who is actually WEARING it?  #tweetdebate
0,Obama -3 for more bracelet shit #tweetdebate
0,"@current  Define defeat.  Oh, you mean like your economy collapsing from within like...because of a terrorist organization?  #current"
0,#debate08 #current #tweetdebate Obama needs to stop stuttering
0,@BrianMcAlister You don't say that out loud
0,"It's a DEBATE, not story time! #tweetdebate #current #momocrats"
0,Both of them -3 for sounding like every other candidate we've ever elected #tweetdebate
0,-1 obama ouch on bracelet remark #tweetdebate
0,"christ, if I could vote I'm not sure I would want to vote for either O or M based on this #current #tweetdebate #debate08"
0,progress in debates. we've moved on from lapel pins to bracelets. #tweetdebate
0,i am not persuaded by this idea about relocating the war. #current #tweetdebate
0,"It must be really weird debating someone who will not look at you. Look at him, John!  #tweetdebate"
0,McCain -1 John we know you were in Iraq and Afghanistan and probably had good dinner there #tweetdebate
0,McCain -3 for holocaust reference. What's happening in Dafur? #tweetdebate
0,I think Republicans learn a different math... #tweetdebate
0,-3 McCain-fearmongering: who said anything about a 2nd holocaust? #tweetdebate
0,blinky's back! (aka McCain) #tweetdebate #current
0,McCain's gaffe: Iran has a lousy government. That's some good int'l diplomacy! #tweetdebate
0,"#tweetdebate McCain: ""Iranians have a lousy economy."" Kinda like...us! Speaking of the economy... Why aren't they talking more about it?"
0,-5 McCain: you're missing the lead questions and walking on way too many tangents... #tweetdebate #debate08
0,I cant believe McCain is talking about Iran's threat now. Lets get Iraq/Afganistan fixed first #tweetdebate
0,@lumatts It is a lousy government. corrupt and unable to provide basic services for its citizens #tweetdebate
0,Dems are too polite. Obama needs to stop saying Mcain is correct. #tweetdebate
0,Good God can we STOP invading other countries?! #tweetdebate #current #debate08
0,"-1 mccain, nobody understands what preconditions are #tweetdebate"
0,-3 McCain for mispronounce of world leader's name. -3 Obama for trying to correct. #tweetdebate
0,McCain -3 for propaganda platform rubbish. What an arrogant asshole are you John?! #tweetdebate
0,-3 mccain can't even pronounce the name of the head of Iran. @nprpolitics contestants on Wait Wait Don't Tell me do it better. #tweetdebate
0,"-5 for McCain's constant reminder of how old he is.  ""Back in the day...""  ""Back when..."" #tweetdebate #debate08"
0,McCain -3 for mispronouncing world leaders' names. Say Ahmadinejad 3 times real fast. #tweetdebate
0,Gorbatschow brought the wall down dude not your fucking Reagan! #tweetdebate
0,McCain aligning himself with Reagan and Nixon. This is why I don't care for him. #tweetdebate
0,"#tweetdebate -3 for McCain for arrogance and downtalking. This guy is just disrespectful, imagine McCain negotiating internationally"
0,"Mccain -1 for rolling his eyes when Obama mentioned that ""A"" isn't the right person at IRAN to target  LOL #Tweetdebate"
0,"@cmarlow480 when you get as old as McCain everything is supported with a story, #tweetdebate"
0,Why do Republicans do that smirk? It's inherently insulting. #tweetdebate
0,@theebayk1d Exactly.. everything with mccain has a boring story behind it #tweetdebate
0,"McCain should not make jokes ""Im not going to set appointments b4 I am prez, I don't even have a seal yet #tweetdebate"
0,My 9 year old asks why McCain doesn't look at Obama.  #tweetdebate
0,-4 for McCain for demanding oil drills when soler gives 5000000 watts  with 15 SA per year #tweetdebate
0,"-1 McCain for more ""preconditions BS"" #tweetdebate"
0,Talking is dangerous.  Just.. ah... shoot people! #Current #debate08 #tweetdebate
0,-3 for having multiple twitter tags for the same concept #tweetdebate #debate08
0,"#current #tweetdebate Mc can only run diversions... ""Dr. Kissenger my old friend""!  Please."
0,"Definitely -3 Mccain REALLY never does look at Obama. I mean never, it's unsettling and I do mean -3 in tweetdebate language  #tweetdebate"
0,fuck mccain #tweetdebate
0,"McCain -3 For response on Russia. He's insulting, and he makes no sense. #tweetdebate"
0,-3 McCain for dusty old KGB sound bite #tweetdebate
0,Mccain -1 he is loosing me here.. #tweetdebate
0,McCain -2 for being sure there won't be a cold war. Venezuela has receives military funding from Russia now #tweetdebate
0,McCain if elected would lead us unsustainably into war across the globe  #tweetdebate
0,"#tweetdebate Oh lord, more boring stories. -2 McCain"
0,re Russia/Iran McCain's definitely more about the military action. Scary if he becomes president. #debate08 #tweetdebate
0,So one sign in Georgia meant the Russians would invade?  Quite a stretch... #tweetdebate
0,"Okay, McCain, enough with the ""I went there once"" and the ""I've been doing this for 35 years."" We know. You're old. #tweetdebate"
0,"McCain -1 for ""having been"" everywhere or a least starting every argument with that. #tweetdebate"
0,Since when did the Republicans become tax-and-spend world police? #tweetdebate
0,McCain -2 for misrepresentng Obama's positions on Russia and Georgia. #tweetdebate
0,#tweetdebate #debate08 Can you imagine Palin answering these questions...
0,"there's no such thing as a ""russian peacekeeper"" #obama -1 #tweetdebate"
0,McCain never looks at Obama #tweetdebate
0,"#current #tweetdebate SAFER?  I want some of those 71 year old man drugs!!  And 6 or 7 houses, too."
0,offshore drilling?  Kill the planet #tweetdebate.
0,"@sarking White privilege. He's a scolding grandfather, Obama interrupting looks like an ""angry black man."" #debate08"
0,Retweet @CollinKelley: McCain created the 911 commission? I guess he did that right after he created the Blackberry #current #tweetdebate
0,It's REALLY starting to bother me that McCain won't even glance at Obama. It shows a lack of respect. #current
0,"McCain wants to work with our allies, but won't meet with Spain #current"
0,Rove...I mean McCain has studied his points very well. Too bad they just seem void of any substance to anyone LISTENING. #current
0,The biggest threat to the United States is Obama as President #current
0,#current Obama is really getting angry at the moderator when he interrupts... you sure he took enough of those meds today?
0,"We don't need to keep hyping this FAKE WAR on TERROR!!   Keep us SECURE, Obama... we don't need our LIBERTY.  #current"
0,McCain winning? WTF? He hasn't said anything. #debate08 #current
0,#debate08 #current 9/11 question is a big softball for Obama to whine about Iraq some more.
0,"We poured that money into airport security, and yet you're able to get around that by changing your name. *sigh* #current #debate08"
0,OMG Lets kill something else for oil now.. sheess #current Penguins and Caribou dont know how to shoot..
0,"Obama has to tell McCain that's not true John to wake him up he is sleeping during the debate, at least his answers sound like it #current"
0,Gore.  Kerry.  Obama.  It's a Harvard DNA thing...they all become androids. #current #debate08
0,#current #debate08 Obama talks in circles about nothing #current #debate08
0,Did Obama's mom not teach him any manners? WAIT YOUR TURN TO SPEAK! #current
0,"it's beacuse mcain doesn't know when to shut his trap. It's a debate, not a speech #current"
0,"No, no, no - the biggest threat is lettig McCain leave with smirk on his face  #current"
0,"Safer today? Go abroad as an American, McCain & get reality check.  #current"
0,"I don't want to hear about offshore drilling at all, anymore, ever. Talk about alternatives, McCain, or you're not talking to me.   #current"
0,"McCain is getting very angry, he is clinching his jaws, and getting ready to taclke Obama, he is such a hothead #current"
0,Poor grades across the board in a recent study of preparedness -- good 4 Obama 2 talk about what we're not doing yet  #current #debate08
0,OUR BIGGEST THREAT IS THE WORLD THINKS WERE ASSHOLES! #current #debate08
0,#current = Obama's lack of experience is making him on edge and not as calm as he might be.  Come back in 8 years.
0,well McCain just f'ed himself talking over Obama and the Mod.... #tweetdebate
0,#2019 #current i wish i could tell him there's never been a suticase nuclear attack anywhere.  i don't think any individual is bold enough.
0,Independents represent 42% of the voting population -- yet we are NOT REPRESENTED at this #tweetdebate. Shameful.
0,McCain sounds like a war monger filled with fear.  #current
0,"Obama: ""We are less respected now.""  Well, you're less respected by me if you keep this play-it-safe mode up.  #current"
0,#debate08 #current  Does Obama actually think we aren't trying to go after all Qaeda?
0,@Edge32 I agree... Obama is being far too accommodating of McCain's tone & interruptions #current #debate08
0,Obama's tie is crooked!!! #current
0,#debate08 #current pinocchio-bama we need to restore America's standing in the world
0,"O: Restore how we're perceived in the world - we're less respected now than we were 8 years ago, even 4 years ago #debates08, #current"
0,"Obama goes into apologizing for the USA again, what a scumbag he is #current"
0,honestly mccain really stressed me out... he was being SO mean. I don't like it when people are that mean in something so important #current
0,"@Condoulo how doesnt he respect the Nat'l Anthem - why does it matter so much if he respects the country, #tweetdebate"
0,I thought McCain flopped on the torture issue? #current
0,"lol, ants are so industrious.  are we supposed to behave like ants?  #current"
0,mccain -3 Obama doesn't get it #current #tweetdebate
0,Missile defense is welfare for the defense industry. It. Just. Doesn't. Work. #tweetdebate
0,"yes -- we are less respected -- Obama can restore standing.  Stop complimenting McCain, he doesn't compliment you!  #current #debate08"
0,senator obama doesnt understand? or get it? Mccain...stop using that language #debate08 #current
0,@current #current He doesn't understand and he doesn't get it - those phrases make McCain sound petty
0,"again ""Senator Obama still doesn't understand.."" ugh. #current"
0,Iraq is lost give it up Mc Cain! #current
0,-1pt for McCain's attack. How can we fail in Iraq? We don't even know how to win there! #tweetdebate
0,"""senator Obama still doesn't quite understand"" #current"
0,"#current Stop saying 'cold war' and 'holocaust' McCain, you just sound desperate and stupid."
0,"@gesteves Right, ignoring them just gives them more room #current"
0,Did Obama's mom not teach him any manners? He needs to wait his turn to speak. #current
0,"Okay-we all know Obama wants us out of Iraq, say something new #current"
0,mccain -1 when asked about our standing in the world goes back to missile defense and rides Reagan's coattails #tweetdebate
0,"This, I think, has been a very disappointing debate.  I thought Obama would come off better, but he didn't shine this time. #current"
0,if MaCain is elected no doubt another 911 is gonna happen! be ready! #current
0,McCain's strategy is all wrong. You cant beat up everybody that doesnt like you.#current
0,"McCain ""Offshore drilling is a bridge..."" to nowhere? #tweetdebate Reagan killed solar, of course McCain doesn't have a good solar record"
0,"Holy shit, McCain isn't winning this debate people- he's talking about our ""ego"" re: Iraq.  That's the most dangerous way to govern #current"
0,"Clearly, McCain ""doesn't understand"" that we need to get out of Iraq so we can deal with issues at home. #current"
0,I wonder if Iraquis are taller than Afghanis ... McCain must have the inside track of height tactics. #current #tweetdebate #debate08
0,"#current General Betray-us says this, General Betray-us says that... Hey McCain, he's not in charge anymore!!"
0,#current John McCain's skin is hangin off his bones
0,"McCain needs to get to the point, I am getting lost in all these words. #current"
0,"just because Gen. Petraeus says it, doesn't make it true. #current"
0,Hopefully one of these candidates can act like an adult when running THE WHOLE COUNTRY #current
0,"Holy shit, McCain isn't winning this debate people- he's talking about our ""ego"" re: Iraq. That's the most dangerous way to govern #current"
0,Obama has spent more time campaigning then in public office #current #debate08
0,ok i get it grandpa mcain your old #current
0,@JalenJade Exactly why do we need attacked when were destroying ourselves  #tweetdebate
0,The Character Assassination of Barack Obama by the Coward John McCain http://bit.ly/2ZHw59 #debate08 #current
0,Mr Obama republicans focus on Iraq because they have little tiny brains. Clinton can tell you where democrats keep theirs #current #debate08
0,"Old Man McCain is just rambling on and on ... and not answering the question with facts, Were are the fact MCCAIN? #current"
0,How can you tell a Harverd Grad who did NOT graduate at the bottom 5 of his class that he does not undersatand. How arrogant. #tweetdebate
0,worst drinking game ever #current
0,"And stop relying on Petraeus, Senator McCain!  #current"
0,"@orbitaldiamonds No one has. No one knows what 'victory in Iraq' looks like. Until they define it, I don't want to hear about it."
0,"@stillgray no she's darth vader - just give her the mask! she'll do everything for her ""master"" Johnny Boy #current"
0,Screw having dates to get out! Lets stay there for 100 years! #current
0,"Every time Obama calls McC ""Jim"" a little child cries.#current"
0,It's a trap! #current
0,#tweetdebate Obama -3 for thinking America had image to lose.  We have been called the ugly Americans for decades.
0,"Calling the USA the ""greatest"" country is a very dangerous claim #current"
0,Mccain won on rambling  run-on sentences.#current
0,"Husband says that if the terrorists are killing us, who cares about health care???? #debate08 #current"
0,We can't invest because we are bankrupt! MORE WARS OR MORE SPENDING IS NOT GOING TO HELP!#current
0,no we just need to wage war on everyone else Obama. not use our money to help the american people...#current
0,"I'm the Jerry Springer audience, I'm waiting for Ralphie N. come out from the background try to beat up McCain :( *bored* #current"
0,Obama Loses! Incompetence breads incompetence! Veterans? What do you care anti-christ? #current
0,#tweetdebate and all our undergarments are manfactured in China. Thats a great risk. what if they stopped manfacturing that
0,"McCain needs to get to the point, I am getting lost in all these words. #current"
0,"McCain: Failure in Iraq would encourage al Qaeda to set up there... Sure it's possible, but is it inevitable? #debate08 #current"
0,#current thay are all lying to us
0,"""I've been involved in every...thing that got screwed up"" is what McCain meant to say there. #current"
0,Obama needs more experience #current
0,"Obama wants change, the change in my wallet.#current"
0,"McCain still condescending with ""Obama doesn't understand"".  And he doesn't have the dignity to look at him. No class. #current #debate"
0,"@BarackObama If you keep positioning healthcare vs Iraq war, you will lose this election. #current #obamashot #mccainshot"
0,all those tight muscles in McCain's face.  I bet he'd look 90 if he'd ever relax. #current
0,Strategy in Obama's mind is Kissing the UN's Butt.  No Thanks.  Freedom Aint Free! #current
0,"Obama bad decisions: His Church, William Ayers, Rezko, Iraq troop surge..... #current"
0,"mccain, quit the patronizing and get to the point #current"
0,#current of course you think he's wrong john! he's standing in your way from letting sarah palin be president
0,"and you haven't done jack, mccain, except jack sh*t up. #current #debate08"
0,"We GET it McCain you are OLD, a lot of people knew FORTRAN once and that doesn't make them ready to lead today. #current"
0,How is it that we're coming back to the Surge?  Weird... #current
0,"Obama's off camera chuckling is just stupid.  Makes him look like an idiot, not a POTUS.  #current #debate08"
0,"Obama: ""We haven't spent enough money on social programs and handouts!"" #current #debate08 #tweetdebate"
0,"#current are you serious, mccain, in comparing obama to bush?  nutjob."
0,oh god McCain..you are getting on my nerves...the surge didnt work!!#current
0,mcain's voice makes my ears bleed #current
0,Obama: please just say that we should stop fighting wars.  Period.  Full Stop.  No more war.  It's DUMB.  #current
0,9/11 was an inside job! Wake up America!! There is no difference between these candidates!!#current
0,McCain has is part of a system that got us into this mess.  How can we trust you to get us out? #current
0,Obama talks about the issues and McCain has only spoken about the past. I think McCain needs to go into teaching History #current
0,McCain is totally dissing Obama - what a  dick #current
0,Ohhh..McCain getting a little nasty #current
0,McCain is acting like an arrogant old guy.#current
0,Barack Obama: DEBATE REALITY CHECK: THREAT IN AFGHANISTAN http://tinyurl.com/4dolsf #debate08 #current #tweetdebate
0,"#current McPain ""we've seen this stubbornness before"" we need more flexibility in a pres of US than that. Veterans know I'll take care o ..."
0,"@tayari Eating pizza would, at the present time, be more interesting than the debate.  #current"
0,McCain -2 he can't even keep the cnn republican line happy! #tweetdebate
0,Play that violin...McCain is talking about veterans... #current
0,Who picked McCain's tie? #current
0,grumpy old man #current
0,"Yeah, McCain, take care of those veterans by NOT SHOWING UP TO VOTE FOR THE GI BILL #current"
0,Obama tried to say that he knows vets well.. guess what can't win that game with McCain.. #current #debate08
0,Mccain is such a joke. #current
0,Wow McCain is saying that Obama is wrong.  Yet his example is counter to what he said two minutes ago? #current
0,#current McCain is trying to win on age. He's talking about Obama as an idealistic teen.
0,McCain has been vomiting diarrhea into my ears all night #current
0,"FLexibility, my ass.#current"
0,"McCain seems to keep falling back on saying, ""Obama just doesn't get it.""  Umm...He seems to get it to me.  #tweetdebate #debate08"
0,McCain's teeth keep whistling... #current
0,McCain -3 calling Obama inflexible  That's the pot calling the kettle black #tweetdebate
0,-1 mc cain's Georgian bias on Georgian - Russia conflict. #tweetdebate
0,McCain clubs baby seals.... seriously. #current
0,Mc Cains gonna take care of the veterans?  he had his chance the last 8 years! #current
0,McCain must be awfully tired  --- He's been everywhere and done everything! #current
0,Talk about clinging mindlessly to one stuck position...how about McCain's insistence on staying in Iraq? #current
0,Mccain -1 getting tired? stuttering? #tweetdebate
0,#current #debate08 I hate it when they talk over each other... cat-fight anyone?
0,-2 for Mcain saying he'll take care of vets but voting against benefits for them. #tweetdebate
0,I want to fall asleep when you talk Mccain #current
0,#current babs is mad.
0,i still hate MaCain's tie!! #current
0,"john mccain: ""i'm afraid....to look people in the eye"" #current"
0,#current  OMG- McCain is smirking just like Bush does!
0,"#current #debate08 - Ok, let's make McCain the Sec'y of Vet Affairs... instead of President----!!!!!"
0,"If veterans know and love McCain like he says, why the veteran protests during his GOP speech? #current"
0,mccain keeps whistling! haha #current
0,@current So do we now stereotype people from other nations as enemies because they live in a certain country?  #current
0,Obama going back to his drunk father roots.  #current
0,"mcc is just harping on one or two things, he seems desperate to me.  He's not putting up anything new, no new ideas, just same old. #current"
0,McCains tie is godawful. #current
0,This debate reminded me why I'm an independent. Disheartening. #current
0,"#current McCain needs to retire, not take the hardest job on earth!"
0,Grandpa McCain is going to take care of America?! #current
0,Obama Loses! Incompetence breads incompetence! Veterans? What do you care anti-christ? #current
0,"I'm outta here. I hope Bill Maher watched the debate. Remember, Barack sucks at debating things, especially because he is stoopid. #current"
0,Mccain is out of touch.  He is a broken record.  We need change NOW! #current
0,"You don't need any ""on-the-job training?"" You are 72! What if you DIE?! Why Palin if you care about ""on the job training?"" #current"
0,It ain't a popularity matter ya dummy It is national security #current
0,I was wondering when he was going to pull the POW card... #current
0,We'd have Al Qaeda taken care of by now if it hadn't been for Iraq and oil interests #debate08 #current
0,McCain just dropped that ball after Obama was lucid about Iraq #current
0,"@downsokc  we have $9 trillion debt.  A little too much, eh?  #debate08 #debateok08 #current"
0,"I hate to say it, Obama lost this debate. He's played too much defense and allowed McCain to on the offensive all night. #current"
0,I thought McCain was busy dumping his first wife after he returned from Vietnam. #current
0,oh here we go again..  blah blah blah.. violins and sappy music.. thanks danny tanner #current
0,McCain sucks.#current
0,"Both McCain and Obama are a joke! give me 30 min. and I can prove it, lol. (this is to u Current! i luvs my current :)  #current"
0,"#current all McCain talks about is war ... he is a war lover, a war monger  he would be a president of war"
0,McCain managed to screw up this debate without any help from Palin.Isn't he sad about Bush screwing vets?. #current #tweetdebate #debate08
0,"""when I came home from prison..."" Have we heard that one before? #current"
0,#current #debate08 #tweetdebate wow ... never mentions that PoW issue does he... good thing he was never tortured (* according to US)
0,wait. MCCAIN JUST ADMITTED TO BEING IN PRISON!!!! What's the crime? are you allowed to be president if you're a felon? WOW. NEWS #current
0,McCain's veteran voting record is a disgrace. #current
0,I think McCain has had 4 strokes throughout this debate.  #tweetdebate
